wavelength,flux
350.6,0.117444114
351.2,0.112027161
351.8,0.118863203
352.5,0.118603799
353.1,0.131268788
353.8,0.149365988
354.4,0.139218738
355,0.138303197
355.7,0.139279774
356.3,0.145520714
357,0.166547646
357.6,0.165616846
358.2,0.169217975
358.9,0.149625391
359.5,0.134473182
360.2,0.116040284
360.8,0.112286564
361.4,0.104779126
362.1,0.130994125
362.7,0.161664759
363.3,0.158933394
364,0.138806744
364.6,0.137448692
365.3,0.15635462
365.9,0.176176089
366.5,0.171003281
367.2,0.183912413
367.8,0.183088426
368.5,0.212385748
369.1,0.229475853
369.7,0.214399939
370.4,0.211470207
371,0.206923018
371.7,0.206144808
372.3,0.227156481
372.9,0.226118868
373.6,0.203901732
374.2,0.219206531
374.8,0.197019913
375.5,0.191480888
376.1,0.170713359
376.8,0.172635996
377.4,0.172758068
378,0.209532311
378.7,0.237151141
379.3,0.232497139
380,0.279037156
380.6,0.308715953
381.2,0.284194705
381.9,0.242293431
382.5,0.239317922
383.2,0.273315023
383.8,0.241301595
384.4,0.186323339
385.1,0.163724727
385.7,0.147748531
386.4,0.166272984
387,0.219298085
387.6,0.244078737
388.3,0.223707942
388.9,0.235884642
389.5,0.232893874
390.2,0.23248188
390.8,0.246337072
391.5,0.27897612
392.1,0.310486
392.7,0.314529641
393.4,0.335709163
394,0.321625086
394.7,0.25463798
395.3,0.163450065
395.9,0.161252766
396.6,0.262298009
397.2,0.326492714
397.9,0.325104143
398.5,0.247069505
399.1,0.193311971
399.8,0.325607691
400.4,0.429964141
401,0.471895933
401.7,0.487109178
402.3,0.51314107
403,0.520511177
403.6,0.541934844
404.2,0.543460746
404.9,0.531482414
405.5,0.52873579
406.2,0.538059052
406.8,0.514361791
407.4,0.532962539
408.1,0.484728771
408.7,0.498660258
409.4,0.510104524
410,0.53482414
410.6,0.569950408
411.3,0.549915312
411.9,0.497241169
412.6,0.540149538
413.2,0.585331502
413.8,0.585316243
414.5,0.577045853
415.1,0.565128557
415.8,0.589939727
416.4,0.587727169
417.1,0.581287861
417.7,0.606129549
418.4,0.600117494
419.1,0.56758526
419.7,0.563602655
420.4,0.568500801
421,0.584751659
421.7,0.572208743
422.4,0.605519188
423,0.616078431
423.7,0.591023117
424.3,0.55728542
425,0.575275807
425.7,0.580173953
426.3,0.599583429
427,0.57912108
427.6,0.575992981
428.3,0.580341802
429,0.545856413
429.6,0.568348211
430.3,0.550846113
430.9,0.521274128
431.6,0.470919356
432.3,0.426424048
432.9,0.486483558
433.6,0.614567788
434.2,0.615956359
434.9,0.622868696
435.6,0.592442206
436.2,0.586475929
436.9,0.631032273
437.5,0.672292668
438.2,0.663595026
438.9,0.649465171
439.5,0.62608835
440.2,0.595906004
440.8,0.616490425
441.5,0.659093614
442.2,0.643529412
442.8,0.672826734
443.5,0.702032502
444.1,0.718573281
444.8,0.716482795
445.5,0.714743267
